焼肉ホルモン 新井屋 渋谷 - 神泉（焼肉）,3.66,"￥6,000～￥7,999"
お肉一枚売りの焼肉店 焼肉とどろき 渋谷神泉店 - 神泉（焼肉）,3.62,"￥5,000～￥5,999"
渋谷焼肉 かみ山 - 代々木公園（焼肉）,3.60,"￥10,000～￥14,999"
焼肉ホルモン 新井屋 はなれ - 神泉（焼肉）,3.57,"￥8,000～￥9,999"
ビーフキッチン 渋谷店 - 渋谷（焼肉）,3.57,"￥6,000～￥7,999"
イベリコ豚おんどる焼 裏渋屋（【旧店名】イベリコ豚 石焼ダイニング おんどる） - 神泉（豚料理）,3.53,"￥5,000～￥5,999"
うしごろバンビーナ 渋谷店（焼肉＆バル） - 渋谷（焼肉）,3.53,"￥6,000～￥7,999"
近江うし焼肉 にくTATSU 渋谷店 - 渋谷（焼肉）,3.53,"￥8,000～￥9,999"
ジンギスカン 羊一 - 神泉（ジンギスカン）,3.50,"￥4,000～￥4,999"
ほるもん倶楽部 あじくら - 神泉（焼肉）,3.48,"￥5,000～￥5,999"
焚火家 渋谷店 - 渋谷（焼肉）,3.47,"￥5,000～￥5,999"
永秀 - 神泉（焼肉）,3.47,"￥5,000～￥5,999"
ぱっぷHOUSE 渋谷本店（パップハウス） - 渋谷（焼肉）,3.47,"￥6,000～￥7,999"
炭火焼ホルモン　ぐう 渋谷 - 渋谷（焼肉）,3.45,"￥4,000～￥4,999"
焼肉ZENIBA 渋谷店（ヤキニクゼニバ） - 渋谷（焼肉）,3.45,"￥5,000～￥5,999"
焼肉 寿亭 渋谷店（ジュテイ） - 渋谷（焼肉）,3.45,"￥4,000～￥4,999"
シュラスコ＆ビアバー ゴッチバッタ 渋谷道玄坂　 - 渋谷（シュラスコ）,3.44,"￥4,000～￥4,999"
ひつじもん - 渋谷（ジンギスカン）,3.44,"￥5,000～￥5,999"
吟味焼肉 じゃんか 道玄坂 - 渋谷（焼肉）,3.43,"￥4,000～￥4,999"
渋谷焼肉 KINTAN - 渋谷（焼肉）,3.42,"￥6,000～￥7,999"
サムギョプサル専門店 金ちゃん 渋谷本店 - 渋谷（韓国料理）,3.41,"￥2,000～￥2,999"
焼肉店 ナルゲ - 渋谷（焼肉）,3.41,"￥5,000～￥5,999"
炭火焼肉 龍（リュウ） - 渋谷（焼肉）,3.36,"￥4,000～￥4,999"
房総ホルモン 渋谷本店 - 神泉（ホルモン）,3.35,"￥3,000～￥3,999"
和牛放題の殿堂 宇田川町 肉屋横丁 - 渋谷（焼肉）,3.34,"￥4,000～￥4,999"
焼肉 いのうえ 渋谷店 - 神泉（焼肉）,3.33,"￥8,000～￥9,999"
黒毛和牛焼肉 七甲山 渋谷道玄坂店（シチコウサン） - 渋谷（焼肉）,3.33,"￥4,000～￥4,999"
もんごろーや - 渋谷（ジンギスカン）,3.32,"￥3,000～￥3,999"
ばりばり亭 - 渋谷（焼肉）,3.32,"￥4,000～￥4,999"
